id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1297752258065033515,Cozy in Jenny Lane,327266960,Henriette,,Ward 23,-33.8015504,18.4801487,Entire home/apt,2640,7,0,,,3,86,0,
1297763570769702757,Superior Studio Apartment,663900475,Peter,,Ward 74,-34.03543390057609,18.347667257532294,Entire home/apt,1400,1,0,,,1,331,0,
1297772991340538418,"Cape Town, Urban Escape, Views",3414028,Sheree,,Ward 115,-33.922991696375234,18.418610617518425,Entire home/apt,2320,20,0,,,19,330,0,
1297787362902806416,Bay Cottage,97926606,Richard,,Ward 54,-33.9655431,18.3768041,Entire home/apt,1950,2,0,,,3,245,0,
1297792326170191123,Beach Apt @ the Empire,10505478,Thomas,,Ward 64,-34.1091358336191,18.468446288519594,Entire home/apt,1400,2,0,,,13,352,0,
1297796353974217042,Golden Grove,659093944,Nolwazi Patience,,Ward 107,-33.7966386,18.4985878,Entire home/apt,5500,3,2,2024-12-27,2,1,357,2,
1297800810898790959,Home away from home,549372495,Lisa,,Ward 55,-33.88617873565569,18.514991104602814,Entire home/apt,1564,2,1,2024-12-20,1,1,352,1,
1297811465049977817,Stunning studio apartment,571444854,Anna,,Ward 58,-33.9747966,18.4836824,Private room,900,2,0,,,1,86,0,
1297811545704879465,Picture-perfect Clifton,63848518,Roland,,Ward 54,-33.9326016,18.3783785,Entire home/apt,5139,2,2,2024-12-08,2,18,132,2,
1297827778158925041,Bali House Llandudno 100m to beach with Sea Views,20600730,Mandy & Dean,,Ward 74,-34.0082240650267,18.343848612811865,Entire home/apt,18918,5,0,,,101,7,0,
1297851038107915178,Chasing Tydes,226840790,Sanet,,Ward 23,-33.78631,18.4588,Entire home/apt,4214,3,0,,,4,14,0,
1297872763534826240,Beth El Guesthouse - Standard Room,129723973,Leticia,,Ward 8,-33.898478295977036,18.695248450700777,Private room,1150,1,0,,,6,357,0,
1297873174673216688,7 San Sabino,13333178,Nicoline,,Ward 107,-33.8195032,18.4783377,Entire home/apt,2371,1,0,,,4,361,0,
1297875302420256292,The Niche,663939846,Adele,,Ward 2,-33.89282267012392,18.622298766279787,Entire home/apt,380,2,0,,,1,330,0,
1297926723582609210,New Luxury city center corner apt -  no power cuts,31361698,Christo,,Ward 115,-33.9239,18.42157,Entire home/apt,1651,3,0,,,54,127,0,
1297980654401084502,Walmer Estate accomodation,232396297,Ida,,Ward 57,-33.93304180541347,18.441530581159018,Private room,270,1,0,,,6,331,0,
